environment,model_group,model,deployment_profile,quantization_profile,model_reasoning_quality,model_safety_prior,model_hallucination_rate,model_jailbreak_susceptibility,model_compliance_bias,model_latency_factor,model_cost_factor,residual_hallucination,residual_jailbreak,residual_noncompliance,objective,safety,compliance,utility,latency,cost,auditability,vulnerability_coverage,risk_domain_coverage,cognitive_role_coverage,layer_diversity,stack_order_score,deployment_feasibility,quantization_feasibility,deployment_cost_penalty,num_controls,controls
healthcare_strict,api_frontier,gpt_5_4,api_hosted,managed,0.93,0.86,0.08,0.12,0.9,1.1,1.2,0.0632,0.0792,0.025,1.15551,0.9037599999999999,0.9535569230769232,0.6201138461538459,0.9643846153846154,0.6275,0.6974523076923076,0.55,1.0,,0.833333,0.265,0.0,1.0,0.5,7,adaptive_risk_controller|audit_logger|human_escalation_gate|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,api_frontier,gemini_3_1_pro_preview,api_hosted,managed,0.93,0.85,0.08,0.13,0.89,1.05,1.05,0.0632,0.0858,0.0275,1.101988,0.8211855938461541,0.9199233846153848,0.6201138461538459,0.8910769230769231,0.5563076923076923,0.6968898461538461,0.375,1.0,,0.833333,0.285,0.0,1.0,0.5,6,adaptive_risk_controller|audit_logger|human_escalation_gate|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,api_frontier,gpt_5_5,api_hosted,managed,0.96,0.88,0.07,0.1,0.92,1.2,1.35,0.0553,0.066,0.02,1.116587,0.917796,0.962230153846154,0.6262199999999998,1.0,0.6626923076923077,0.6985772307692306,0.55,1.0,,0.833333,0.265,0.0,0.0,0.52,7,adaptive_risk_controller|audit_logger|human_escalation_gate|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,api_frontier,claude_sonnet_4_5,api_hosted,managed,0.92,0.87,0.08,0.12,0.91,1.05,1.1,0.0632,0.0792,0.0225,1.055487,0.8300683384615387,0.9283289230769233,0.6180784615384614,0.8910769230769231,0.5670384615384615,0.6980147692307691,0.375,1.0,,0.833333,0.285,0.0,0.0,0.52,6,adaptive_risk_controller|audit_logger|human_escalation_gate|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,api_fast_cost_optimized,gemini_2_5_flash,api_hosted,managed,0.84,0.78,0.13,0.2,0.82,0.55,0.45,0.121388,0.132,0.05148,1.074565,0.8382326426923078,0.9006533753846154,0.6752838461538462,0.522,0.3195384615384615,0.6702079999999998,0.55,1.0,,0.666667,0.2,0.0,1.0,0.37,6,adaptive_risk_controller|audit_logger|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,api_fast_cost_optimized,mercury_2,api_hosted,managed,0.85,0.79,0.13,0.21,0.83,0.5,0.5,0.121388,0.1386,0.04862,1.075535,0.8399167473076924,0.9050187861538461,0.6774692307692307,0.5076923076923077,0.32826923076923076,0.6707519999999999,0.55,1.0,,0.666667,0.2,0.0,1.0,0.37,6,adaptive_risk_controller|audit_logger|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router
healthcare_strict,open_weight_large,nemotron_3_super_120b_a12b,enterprise_gpu,fp8,0.91,0.79,0.11,0.22,0.8,1.35,1.05,0.0869,0.1056,0.05,1.240305,0.862076,0.9129999999999999,0.5912984615384613,1.0,0.5923076923076923,0.6918276923076921,0.55,1.0,,0.833333,0.28,1.0,1.0,0.25,8,adaptive_risk_controller|audit_logger|human_escalation_gate|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router|regex_denylist
healthcare_strict,open_weight_large,qwen3_next_80b_a3b,api_hosted,fp8,0.89,0.76,0.13,0.26,0.78,1.15,0.95,0.040625,0.1508,0.055,1.139455,0.8491690000000001,0.9043000000000001,0.6119723076923074,1.0,0.6768461538461539,0.7201747692307695,0.55,1.0,,1.0,0.38,0.0,1.0,0.5,9,adaptive_risk_controller|audit_logger|grounding_judge|human_escalation_gate|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router|schema_validator
healthcare_strict,open_weight_large,mistral_small_4,api_hosted,int4,0.82,0.73,0.17,0.3,0.74,0.75,0.65,0.073206,0.144,0.08528,1.040938,0.829544061923077,0.8794608984615384,0.6454084615384614,0.7042307692307692,0.42646153846153845,0.4308480000000001,0.55,1.0,,0.666667,0.225,0.0,1.0,0.37,7,adaptive_risk_controller|grounding_judge|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router|regex_denylist
healthcare_strict,open_weight_medium,qwen3_5_27b,enterprise_gpu,int4,0.82,0.7,0.18,0.32,0.72,0.8,0.55,0.077513,0.1536,0.08008,1.0777,0.8138904315384615,0.875176,0.6454084615384614,0.7465384615384614,0.429,0.6647679999999998,0.55,1.0,,0.666667,0.25,0.0,1.0,0.37,8,adaptive_risk_controller|audit_logger|grounding_judge|medical_urgency_classifier|phi_detector|policy_compliance_judge|policy_graph_router|regex_denylist
