compliance,environment,model,objective,rank,risk_domain_coverage,safety,utility,vulnerability_coverage
0.8600000000000001,healthcare_strict,nemotron_3_super_120b_a12b,0.87135,1,0.0,1.0,0.69125,0.0
0.8287500000000002,healthcare_strict,gpt_4_1,0.654125,2,0.0,0.8150000000000002,0.7312500000000001,0.0
0.8200000000000001,healthcare_strict,qwen3_5_35b_a3b,0.649675,3,0.0,0.6575000000000001,0.7412499999999999,0.0
0.6900000000000001,healthcare_strict,qwen3_5_27b,0.609175,4,0.0,0.6275000000000001,0.7612500000000001,0.0
0.69,healthcare_strict,qwen3_next_80b_a3b,0.548475,5,0.0,0.6075,0.7412499999999999,0.0
0.5987499999999999,healthcare_strict,qwen3_4b,0.443125,6,0.0,0.535,0.75125,0.0
0.54875,healthcare_strict,gemini_2_5_flash,0.4402,7,0.0,0.5475,0.7112499999999999,0.0
0.49875,healthcare_strict,gemma_4_e4b,0.391325,8,0.0,0.4850000000000001,0.7612500000000001,0.0
0.49875,healthcare_strict,gemma_4_26b_a4b,0.384325,9,0.0,0.4850000000000001,0.7612500000000001,0.0
0.49875,healthcare_strict,gemini_3_1_pro_preview,0.371325,10,0.0,0.4850000000000001,0.7612500000000001,0.0
0.9962500000000001,finance_consumer,qwen3_5_27b,0.726463,1,0.0,0.985,0.6749999999999998,0.0
0.8587499999999999,finance_consumer,qwen3_next_80b_a3b,0.651262,2,0.0,0.8325,0.6849999999999999,0.0
0.72875,finance_consumer,ministral_3_3b,0.574137,3,0.0,0.6500000000000001,0.7349999999999999,0.0
0.785,finance_consumer,qwen3_4b,0.538638,4,0.0,0.52875,0.7150000000000001,0.0
0.675,finance_consumer,gemini_3_1_pro_preview,0.534288,5,0.0,0.56,0.745,0.0
0.585,finance_consumer,gemma_4_26b_a4b,0.506687,6,0.0,0.55,0.745,0.0
0.66875,finance_consumer,gemma_4_e4b,0.506288,7,0.0,0.60875,0.7349999999999999,0.0
0.6849999999999999,finance_consumer,nemotron_cascade_2_30b_a3b,0.505563,8,0.0,0.55125,0.6549999999999999,0.0
0.48500000000000004,finance_consumer,gpt_5_4_mini,0.438188,9,0.0,0.4700000000000001,0.7550000000000001,0.0
0.48500000000000004,finance_consumer,qwen3_5_35b_a3b,0.391188,10,0.0,0.4700000000000001,0.7550000000000001,0.0
0.9700000000000001,adversarial,nemotron_3_nano_30b_a3b,0.79785,1,0.0,0.8650000000000001,0.705,0.0
0.8916666666666669,adversarial,gemma_4_e4b,0.750217,2,0.0,0.8300000000000001,0.725,0.0
0.7150000000000002,adversarial,qwen3_4b,0.72695,3,0.0,0.7799999999999999,0.745,0.0
0.5650000000000001,adversarial,ministral_3_3b,0.55985,4,0.0,0.64,0.755,0.0
