control_a,control_b,environment,objective_pair,rank,synergy
medical_urgency_classifier,policy_graph_router,healthcare_strict,0.582125,1,
financial_vulnerability_classifier,policy_graph_router,healthcare_strict,0.515725,2,
policy_graph_router,adaptive_risk_controller,healthcare_strict,0.573575,3,
policy_compliance_judge,policy_graph_router,healthcare_strict,0.5674250000000001,4,
regex_denylist,policy_compliance_judge,healthcare_strict,0.520425,5,
schema_validator,policy_compliance_judge,healthcare_strict,0.5201250000000001,6,
regex_denylist,schema_validator,healthcare_strict,0.471625,7,
regex_denylist,medical_urgency_classifier,healthcare_strict,0.524525,8,
regex_denylist,financial_vulnerability_classifier,healthcare_strict,0.45812500000000006,9,
regex_denylist,policy_graph_router,healthcare_strict,0.515925,10,
policy_compliance_judge,policy_graph_router,finance_consumer,0.5682875000000001,1,
medical_urgency_classifier,policy_graph_router,finance_consumer,0.5149375,2,
financial_vulnerability_classifier,policy_graph_router,finance_consumer,0.5635875000000001,3,
policy_graph_router,adaptive_risk_controller,finance_consumer,0.5605375000000001,4,
regex_denylist,policy_compliance_judge,finance_consumer,0.5287375000000001,5,
schema_validator,policy_compliance_judge,finance_consumer,0.5251875,6,
regex_denylist,schema_validator,finance_consumer,0.4753375000000001,7,
regex_denylist,medical_urgency_classifier,finance_consumer,0.4671875000000001,8,
regex_denylist,financial_vulnerability_classifier,finance_consumer,0.5158375000000001,9,
regex_denylist,policy_graph_router,finance_consumer,0.5154375000000001,10,
medical_urgency_classifier,policy_graph_router,adversarial,0.5373333333333334,1,
financial_vulnerability_classifier,policy_graph_router,adversarial,0.5264500000000001,2,
policy_compliance_judge,policy_graph_router,adversarial,0.5798166666666666,3,
regex_denylist,policy_compliance_judge,adversarial,0.5386666666666666,4,
schema_validator,policy_compliance_judge,adversarial,0.5082166666666668,5,
regex_denylist,schema_validator,adversarial,0.49230000000000007,6,
regex_denylist,medical_urgency_classifier,adversarial,0.4863833333333334,7,
regex_denylist,financial_vulnerability_classifier,adversarial,0.47550000000000003,8,
regex_denylist,human_escalation_gate,adversarial,0.5111,9,
schema_validator,medical_urgency_classifier,adversarial,0.45593333333333336,10,
